X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-50.5063929999999,-20.9469,2768,3548054_ETE_1,ETE Santo Antônio do Aracanguá,866111961,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.69999999,0,0,3548054, ,LAG
-46.69053,-22.1034119999999,2769,3548104_ETE_1,ETE Santo Antônio do Jardim,8684681,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.80000001,0,0,3548104, ,LAG
-45.6761109999999,-22.8241669999999,2770,3548203_ETE_1,ETE Santo Antônio do Pinhal,86888993,0,Ativa,Não,Sim,Lagoa Facultativa Aerada, ,0,0.81999999,0,0,3548203,RM do Vale do Paraíba e Litoral Norte - SP,LAG
-51.40178,-21.8360259999999,2771,3548302_ETE_1,ETE Santo Expedito,86534532,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.89999998,0,0,3548302, ,LAG
-50.4985089469999,-21.6517437969999,2772,3548401_ETE_1,ETE Santópolis do Aguapeí,86563932,0,Ativa,Não,Sim,Lodos Ativados em Batelada - SBR Sequencing Batch Reactor/ICEAS Aeração Prolongada c/Ciclos Intermitentes, ,0,0.89999998,0,0,3548401, ,LAT
-45.7402779999999,-22.6776389999999,2773,3548609_ETE_1,ETE São Bento do Sapucaí,868887733,0,Ativa,Não,Sim,Reator Anaeróbio + Filtro Anaeróbio + Filtro Aeróbio + Decantador, ,0,0.77999997,0,0,3548609,RM do Vale do Paraíba e Litoral Norte - SP,RAN
-46.6010449999999,-23.759699,2774,3548708_ETE_2,ETE Riacho Grande,866984322,0,Ativa,Não,Sim,Lodos Ativados de Aeração Prolongada - Valo de Oxidação/Sistema Carrossel + Lagoa de Maturação, ,0,0.89999998,0,0,3548708,RM São Paulo - SP,LAT
-47.9276839999999,-22.031224,2775,3548906_ETE_2,ETE Monjolinho,86649272,2013,Ativa,Não,Sim,Reator Anaeróbio + Floculação Quimicamente Assistida + Flotação,Córrego Monjolinho,304796,0.89999998,0,0,3548906, ,QBI
-49.236323,-23.516111,2776,3553807_ETE_1,ETE Taquarituba,86492345,0,Ativa,Não,Sim,Lagoa Facultativa Aerada, ,0,0.80000001,0,0,3553807, ,LAG
-50.7056684459999,-20.356257236,2777,3549003_ETE_1,ETE São Francisco - SP,867896,0,Ativa,Não,Sim,Fossa Séptica + Filtro Anaeróbio/Biológico, ,0,0.55000001,0,0,3549003, ,SIM
-46.811227,-21.942087,2778,3549102_ETE_1,ETE São João da Boa Vista,8684659,0,Ativa,Não,Sim,Lagoa Aerada + Lagoa de Decantação/Facultativa/Maturação, ,0,0.69999999,0,0,3549102, ,LAG
-50.3746659999999,-20.3984599999999,2779,3549201_ETE_1,ETE São João das Duas Pontes,8672921,0,Ativa,Não,Sim,Lagoa Facultativa Aerada, ,0,0.75,0,0,3549201, ,LAG
-50.3491349999999,-20.5135109999999,2780,3549250_ETE_2,ETE São João de Iracema - Centro,86729311,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.89999998,0,0,3549250, ,LAG
-51.651041,-21.264126,2781,3549300_ETE_1,ETE São João do Pau D'Alho,8656114,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.88,0,0,3549300, ,LAG
-47.6642859999999,-20.6027,2782,3549508_ETE_1,ETE São José da Bela Vista,86861925,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.87,0,0,3549508, ,LAG
-44.568008,-22.633209,2783,3549607_ETE_1,ETE São José do Barreiro,7789537365,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.81999999,0,0,3549607,RM do Vale do Paraíba e Litoral Norte - SP,LAG
-49.3736029999999,-20.7353459999999,2784,3549805_ETE_1,ETE Rio Preto,86822935,0,Ativa,Não,Sim,Reator Anaeróbio + Lodos Ativados, ,0,0.82999998,0,0,3549805, ,RAN
-45.869425065,-23.161381236,2785,3549904_ETE_2,ETE Lavapés,778957972,2019,Ativa,Não,Sim,Lodos Ativados de Tanque Profundo (DEEP SHAFT),Ribeirão,238433,0.89999998,0,0,3549904,RM do Vale do Paraíba e Litoral Norte - SP,LAT
-45.778922452,-23.133456039,2786,3549904_ETE_3,ETE Pararangaba,77895782,2015,Ativa,Não,Sim,Lodos Ativados de Aeração Prolongada,Rio Paraíba do Sul,157981,0.94999999,0,0,3549904,RM do Vale do Paraíba e Litoral Norte - SP,LAT
-45.8285559999999,-23.1800279999999,2787,3549904_ETE_6,ETE Vista Verde,77895796,0,Ativa,Não,Sim,Lodos Ativados em Batelada - SBR Sequencing Batch Reactor/ICEAS Aeração Prolongada c/Ciclos Intermitentes, ,0,0.80000001,0,0,3549904,RM do Vale do Paraíba e Litoral Norte - SP,LAT
-45.9315833869999,-23.190172946,2788,3549904_ETE_5,ETE Urbanova,77897114,0,Ativa,Não,Sim,Lagoa Aerada + Lagoa de Decantação/Facultativa/Maturação, ,0,0.80000001,0,0,3549904,RM do Vale do Paraíba e Litoral Norte - SP,LAG
-46.956088,-23.8582699999999,2789,3549953_ETE_1,ETE São Lourenço da Serra,77944983,0,Ativa,Não,Sim,Lagoa Anaeróbia Aerada + Lagoa Facultativa Aerada, ,0,0.81999999,0,0,3549953,RM São Paulo - SP,LAG
-45.314312,-23.241636,2790,3550001_ETE_1,ETE São Luís do Paraitinga,7789951,2010,Ativa,Não,Sim,Lagoa Aerada + Lagoa de Decantação/Facultativa/Maturação,Rio Paraitinga,6797,0.85000002,0,0,3550001,RM do Vale do Paraíba e Litoral Norte - SP,LAG
-48.577797,-22.7163429999999,2791,3550100_ETE_1,ETE São Manuel,8665827,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa + Lagoas de Maturação em Série, ,0,0.89999998,0,0,3550100, ,LAG
-48.01577,-23.868937,2792,3550209_ETE_1,ETE São Miguel Arcanjo,8649981,0,Ativa,Não,Sim,Lagoa Facultativa, ,0,0.81999999,0,0,3550209,RM de Sorocaba - SP,LAG
-46.5586989999999,-23.514511,2793,3550308_ETE_4,ETE Parque Novo Mundo,86699331,0,Ativa,Não,Sim,Lodos Ativados Convencional, ,0,0.89999998,0,0,3550308,RM São Paulo - SP,LAT
-47.887198,-22.545784,2794,3550407_ETE_1,ETE Horto Florestal,86661852,0,Ativa,Não,Sim,Lagoa Aerada + Lagoa de Decantação/Facultativa/Maturação, ,0,0.82999998,0,0,3550407,Aglomeração Urbana de Piracicaba-AU- Piracicaba - SP,LAG
-49.726579,-22.7638739999999,2795,3550506_ETE_1,ETE São Pedro do Turvo,8646241,0,Ativa,Não,Sim,Lagoa Anaeróbia + Lagoa Facultativa/Lagoa de Decantação (Sistema Australiano), ,0,0.82999998,0,0,3550506, ,LAG
-45.433981533,-23.827371436,2796,3550704_ETE_4,ETE Barequeçaba,7793951131,0,Ativa,Não,Sim,Lodos Ativados em Batelada - SBR Sequencing Batch Reactor/ICEAS Aeração Prolongada c/Ciclos Intermitentes, ,0,0.89999998,0,0,3550704,RM do Vale do ParaLba e Litoral Norte - SP,LAT
-45.6197463079999,-23.7764421699999,2797,3550704_ETE_5,ETE Boiçucanga,7793951181,0,Ativa,Não,Sim,Lodos Ativados em Batelada - SBR Sequencing Batch Reactor/ICEAS Aeração Prolongada c/Ciclos Intermitentes, ,0,0.89999998,0,0,3550704,RM do Vale do Paraíba e Litoral Norte - SP,LAT
